chisq_1502,m_{\chi_1^0} (GeV),m_1 (GeV),m_2 (GeV),tan \beta,\mu (GeV),\Omega_{\chi}h^2,\sigma_{SI},\sigma_v (Km/s),A_t (GeV),m_A (Ge V),m_Q3 (GeV
38.073162506,91.231619499999994,93.7625591974,104.174242577,7.25928048206,435.888624199,9.6740789327230028E-002,5.5326315710834E-46,6.3697175604386427E-027,3.73855171E+03,3.78501428E+03,-3.20606742E+03
39.3843427227,99.752686499999996,-112.712271944,499.281633372,13.2019346702,142.295279708,0.20024867841358573,3.6498491319219E-46,7.5680890166411145E-027,-3.51169634E+03,-4.86451605E+02,3.5400775E+03
35.9591311909,175.90400299999999,-173.571370412,-497.703761386,11.8211960168,1254.63444154,9.6645270921840568E-002,2.6846891237993E-48,1.2793495435364938E-026,2.86095229E+03,1.24502027E+03,3.04031956E+03
36.0226734095,91.626999100000006,95.0061206114,107.058141758,5.15574789271,446.851222194,0.10350166372690642,1.1634628590688E-45,8.2677537891627362E-027,3.15174422E+03,1.05924688E+03,1.51512975E+03
36.9217277581,178.56872000000001,176.649586892,-317.527674606,48.7403866071,1216.81405139,0.16237996212751934,3.3151230637737E-48,1.2871765339108396E-026,3.14461322E+03,-3.38638108E+03,-2.77613579E+03
37.4661265149,89.724263399999998,93.455145145,107.716016784,6.96190461053,374.165146362,0.14696644701039716,1.7924390071168E-45,6.2268604772742258E-027,3.23398573E+03,1.09623303E+03,1.7633981E+03
39.6228561905,96.495424000000000,99.8358734751,110.996153938,6.12897452688,439.957047263,9.3435865613160557E-002,7.9359465837706E-46,9.4145479931316139E-027,-3.63444869E+03,-2.0685376E+03,-1.31051457E+03
38.5953830334,98.402070100000003,113.519484943,-487.800559031,15.9029305318,-136.661914959,0.15202519469147149,1.3402370831288E-45,1.0049430641484326E-026,-1.34171136E+03,6.36392297E+02,-3.60775847E+03
39.8245272259,186.50333200000000,-184.24009054,223.470781004,31.1999248405,1671.40936461,0.10372609085356847,3.286156346574E-48,1.6757790100985898E-026,2.96548703E+03,1.01810707E+03,3.11108917E+03
38.7183422193,183.49423200000001,-180.939978976,367.187231482,19.0085891444,1037.51949068,0.11120483098016878,3.9675578620406E-50,1.4901376231114449E-026,3.575494E+03,-3.563023E+03,-2.55504711E+03
37.397567344,93.513371599999999,98.1692918815,113.102277676,5.28208239567,402.801347324,0.13323015785336390,1.7135799631749E-45,8.6258660947704879E-027,-3.88515907E+03,-2.89266181E+03,3.12869933E+03
38.1824637279,182.01839400000000,181.477362397,-286.666290321,23.5272288756,558.42585322,0.20141464584820118,1.3813722109118E-46,1.1360732884279812E-026,3.73174833E+03,-3.96373138E+03,2.80701151E+03
38.7915287602,182.64526300000000,-183.971304123,-802.399087946,9.1050228862,297.486429675,0.17591484566640533,7.4305318103465E-46,1.2940821294941559E-026,2.38673914E+03,-2.82133071E+03,-2.30072949E+03
38.4427718496,90.731306399999994,93.6843961137,105.233306033,6.65749216429,424.746848599,0.11788439677647033,1.0183026140037E-45,6.1873819958698519E-027,3.22280065E+03,1.11618228E+03,1.46584736E+03
33.2043454654,87.568943300000001,110.524213954,-368.392557165,26.7841919796,-113.220894933,8.9693830202935254E-002,5.1071206041911E-46,1.1411900318308158E-026,-1.33801379E+03,6.67025292E+02,-3.63970541E+03
39.3594163777,96.143887000000007,99.2351684196,109.778494796,6.98559967336,420.745527116,8.1454219296203542E-002,7.7220332741066E-46,1.0423658815145937E-026,3.24448652E+03,1.08980912E+03,1.65303895E+03
37.3793719363,92.466547300000002,96.5191881105,126.958176926,5.24287536183,-155.961890185,0.17906408863170198,1.2685444016339E-45,6.6877729144627599E-027,-3.79308205E+03,-2.74711473E+03,3.06948163E+03
37.1677941986,179.24494300000001,177.410460685,-240.516531028,16.6960863291,2269.75791926,0.17055083659512496,4.4947804562589E-49,1.2623970172071250E-026,3.03117691E+03,-3.77314391E+03,-3.49150751E+03
39.3694690784,185.25858800000000,183.420046372,-854.64316522,55.2789261454,1193.54405455,0.19512936010093845,9.2563750676585E-48,1.1947145568028321E-026,3.43748851E+03,-2.14158077E+03,-3.46124014E+03
39.0129814248,95.680728099999996,98.990150548,109.943603031,5.04959815888,467.001474694,8.1902843059583869E-002,8.6232866979277E-46,1.0863438034504908E-026,3.28833664E+03,1.12688591E+03,1.52432881E+03
38.3561082202,182.50262499999999,-179.104451892,-213.8672596,7.35929025428,2697.51146,0.17755846730980102,4.256124336393E-48,1.2386851287633157E-026,3.49802272E+03,3.43084361E+03,3.32956268E+03
36.445259544,89.224427500000004,92.5874365563,104.441697011,6.02533604802,422.82524996,0.11375015598872645,1.177595885207E-45,6.3790130251641875E-027,3.22861416E+03,1.05628255E+03,1.7685034E+03
39.5999463861,95.134629500000003,98.3067366883,107.859552103,5.68330644471,502.884571044,9.4033096777637465E-002,5.4760204745903E-46,6.7483620027875007E-027,-3.78485265E+03,-2.741784E+03,3.12607439E+03
